တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေရႊရည္၀င္း,22.084668,95.162866,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,မိုးသိျကား,22.107075,95.13133,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အားသစ္,22.107127,95.70059,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေကအန္ေက,22.105225,95.137267,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,မံုရြာျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,အိုင္တီစီးတီး,22.116321,95.132201,,,,,,,
စစ္ကိုင္းတိုင္းေဒသၾကီး,စစ္ကိုင္းျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,နယူးဘီး,22.116672,95.141525,,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ထား၀ယ္ျမို့,ျမိဳ႕နယ္လ်ွပ္စစ္အင္ဂ်င္နီယာရံုး,ထား၀ယ္လ်ွပ္စစ္ဓာတ္အားေပးစက္ရံု,14.083522,98.194653,,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ထား၀ယ္ျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ယူအမ္ဂ်ီ(ျမန္မာ),14.056698,98.190334,059 23007,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ထား၀ယ္ျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,စိန္ေရႊ,14.072742,98.190061,09 254821821,,,,,,
တနသၤာရီတိုင္းေဒသၾကီး,ထား၀ယ္ျမို့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,၈၈,14.075414,98.186501,09 450992600,,,,,,
